movie, movieFormatted
10thingsihateaboutyou,10 Things I Hate About You
12monkeys,12 Monkeys
1492conquestofparadise,1492 Conquest Of Paradise
15minutes,15 Minutes
30minutesorless,30 Minutes Or Less
48hrs.,48 Hrs
5050,50/50
8mm,8 mm
abyssthe,The Abyss
afewgoodmen,A Few Good Men
affliction,Affliction
airforceone,Airforce One
airplane,Airplane
airplane2thesequel,Airplane 2: The Sequel
alien,Alien
aliennation,Alien Nation
aliens,Aliens
allabouteve,All About Eve
almostfamous,Almost Famous
amadeus,Amadeus
americanpie,American Pie
americansplendor,American Splendor
americanwerewolfinlondon,American Werewolf In London
amour,Amour
anastasia,Anastasia
annakarenina,Anna Karenina
anniversarypartythe,The Anniversary Party
antitrust,Antitrust
apartmentthe,The Apartment
apocalypsenow,Apocalypse Now
aptpupil,Apt Pupil
arcade,Arcade
arcticblue,Arctic Blue
armyofdarkness,Army Of Darkness
arthur,Arthur
asgoodasitgets,As Good As It Gets
assignmentthe,The Assignment
austinpowersinternationalmanofmystery,Austin Powers: International Man Of Mystery
austinpowersthespywhoshaggedme,Austin Powers: The Spy Who Shagged Me
autumninnewyork,Autumn In New York
avengersthe,The Avengers
avengersthe2012,The Avengers (2012)
bachelorparty,Bachelor Party
backdraft,Back Draft
badcountry,Bad Country
badlieutenant,Bad Lieutenant
badsanta,Bad Santa
bamboozled,Bamboozled
barrylyndon,Barry Lyndon
basicinstinct,Basic Instinct
battleofshakerheightsthe,The Battle Of Shaker Heights
beavisandbuttheaddoamerica,Beavis And Butthead Do America
beingjohnmalkovich,Being John Malkovich
beingthere,Being There
believerthe,The Believer
bigbluethe,The Big Blue
bigfish,Big Fish
bigwhitethe,The Big White
birdsthe,The Birds
birthdaygirl,Birthday Girl
blackdahliathe,The Black Dahlia
blackrain,Black Rain
blacksnakemoan,Black Snake Moan
blade,Blade
bladeii,Blade II
bladerunner,Bladerunner
bladetrinity,Blade Trinity
blastfromthepastthe,The Blast From The Past
bloodsimple,Blood Simple
blow,Blow
bodyofevidence,Body Of Evidence
bones,Bones
boondocksaintsthe,The Boondock Saints
bottlerocket,Bottle Rocket
bound,Bound
bourneidentitythe,The Bourne Identity
braveheart,Braveheart
bringingoutthedead,Bringing Out The Dead
broadcastnews,Broadcast News
buffythevampireslayer,Buffy The Vampires Layer
bulldurham,Bull Durham
butterflyeffectthe,The Butterfly Effect
capote,Capote
cars2,Cars 2
case39,Case 39
castaway,Castaway
cedarrapids,Cedar Rapids
cellthe,The Cell
chasingamy,Chasing Amy
chinatown,Chinatown
ciderhouserulesthe,The Ciderhouse Rules
cincinnatikidthe,The Cincinnati Kid
clerks,Clerks
cliffhanger,Cliffhanger
codeofsilence,Code Of Silence
coldmountain,Cold Mountain
colombiana,Colombian A
conanthebarbarian,Conan The Barbarian
coolerthe,The Cooler
copycat,Copycat
crash,Crash
croodsthe,The Croods
crouchingtigerhiddendragon,Crouching Tiger Hidden Dragon
croupier,Croupier
crowsalvationthe,The Crow Salvation
crowthe,The Crow
cruelintentions,Cruel Intentions
danceswithwolves,Dances With Wolves
darkcity,Dark City
darkknightrisesthe,The Dark Knight Rises
darkstar,Dark Star
daytheclowncriedthe,The Day The Clown Cried
deadpoetssociety,Dead Poets Society
deepcover,Deep Cover
deerhunterthe,The Deer Hunter
detroitrockcity,Detroit Rock City
diehard,Diehard
dogdayafternoon,Dog Day Afternoon
doorsthe,The Doors
dotherightthing,Do The Right Thing
doubleindemnity,Double Indemnity
dropdeadgorgeous,Drop Dead Gorgeous
easya,Easy A
edtv,Ed TV
election,Election
enemyofthestate,Enemy Of The State
englishpatientthe,The English Patient
eternalsunshineofthespotlessmind,Eternal Sunshine Of The Spotless Mind
evencowgirlsgettheblues,Even Cowgirls Get The Blues
eventhorizon,Event Horizon
evildeadiideadbydawn,Evil Dead II: Dead By Dawn
excalibur,Excalibur
fabulousbakerboysthe,The Fabulous Baker Boys
faceoff,Faceoff
familymanthe,The Family Man 
fantasticfour,Fantastic Four
fargo,Fargo
fasttimesatridgemonthigh,Fast Times At Ridge Mont High
fatalinstinct,Fatal Instinct
faultinourstarsthe,The Fault In Our Stars 
fearandloathinginlasvegas,Fear And Loathing In Las Vegas
feast,Feast
ferrisbuellersdayoff,Ferris Bueller's Day Off
fightclub,Fight Club
fiveeasypieces,Five Easy Pieces
forrestgump,Forrest Gump
fourrooms,Four Rooms
frances,Frances
frankenstein,Frankenstein
freaked,Freaked
freddyvs.jason,Freddy Vs Jason
frenchconnectionthe,The French Connection
frequency,Frequency
fridaythe13thpartviiijasontakesmanhattan,Friday The 13th Part VIII: Jason Takes Manhattan
fromdusktilldawn,From Dusk Till Dawn
fromheretoeternity,From Here To Eternity
fugitivethe,The Fugitive
g.i.jane,GI Jane
gandhi,Gandhi
gangrelated,Gang Related
getcarter,Get Carter
ghost,Ghost
ghostbusters2,Ghostbusters 2
ghostship,Ghost Ship
ghostworld,Ghost World
gladiator,Gladiator
godfather,Godfather
godfatherpartii,Godfather Part II
godsandmonsters,Gods And Monsters
godzilla,Godzilla
gonein60seconds,Gone In 60 Seconds
goodwillhunting,Goodwill Hunting
graduatethe,The Graduate
greenmilethe,The Green Mile
griftersthe,The Grifters
grossepointblank,Grosse Point Blank
hackers,Hackers
halloweenthecurseofmichaelmyers,Halloween The Curse Of Michael Myers
hardrain,Hard Rain
hauntingthe,The Haunting
hellboundhellraiserii,Hellbound: Hellraiser II
hellraiser,Hellraiser
hellraiser3hellonearth,Hellraiser 3: Hell On Earth
helpthe,The Help
henryfool,Henry Fool
henryscrime,Henry's Crime
hesher,Hesher
highfidelity,High Fidelity
highlander,Highlander
hollowman,Hollow Man
hostage,Hostage
houseof1000corpses,House Of 1000 Corpses
howtotrainyourdragon2,How To Train Your Dragon 2
hudsuckerproxythe,The Hud Sucker Proxy
humannature,Human Nature
iamsam,I Am Sam
icestormthe,The Icestorm
illdoanything,Ill Do Anything
independenceday,Independence Day
indianajonesandtheraidersofthelostark,Indiana Jones And The Raiders Of The Lost Ark
indianajonesandthetempleofdoom,Indiana Jones And The Temple Of Doom
indianajonesiv,Indiana Jones IV
insiderthe,The Insider
insidious,Insidious
insomnia,Insomnia
interviewwiththevampire,Interview With The Vampire
intolerablecruelty,Intolerable Cruelty
invictus,Invictus
istillknowwhatyoudidlastsummer,I Still Know What You Did Last Summer
italianjobthe,The Italian Job
itsawonderfullife,Its A Wonderful Life
jacobsladder,Jacobs Ladder
janeeyre,Jane Eyre
jasonx,Jason X
jaws,Jaws
jaws2,Jaws 2
jayandsilentbobstrikeback,Jay And Silent Bob Strike Back
juno,Juno
jurassicparkiii,Jurassic Park III
jurassicparkthelostworld,Jurassic Park The Lost World
kalifornia,Kalifornia
kateleopold,Kate Leopold
killingzoe,Killing Zoe
klute,Klute
kundun,Kundun
l.a.confidential,LA Confidential
laboroflove,Labor Of Love
ladykillersthe,The Ladykillers
larrycrowne,Larry Crowne
lastflightthe,The Last Flight
lastofthemohicansthe,The Last Of The Mohicans
lasttangoinparis,Last Tango In Paris
leavinglasvegas,Leaving Las Vegas
leviathan,Leviathan
life,Life
lifeasahouse,Life As A House
lifeofdavidgalethe,The Life Of David Gale
limeythe,The Limey
lincoln,Lincoln
littlenicky,Little Nicky
livinginoblivion,Living In Oblivion
logansrun,Logan's Run
lonestar,Lone Star
longkissgoodnightthe,The Long Kiss Goodnight
lordofillusions,Lord Of Illusions
losersthe,The Losers
losthighway,Lost Highway
lostintranslation,Lost In Translation
loveandbasketball,Love And Basketball
machete,Machete
machinegunpreacher,Machine Gun Preacher
magnolia,Magnolia
majesticthethebijou,Majestic The The Bijou
majorleague,Major League
manhattanmurdermystery,Manhattan Murder Mystery
manintheironmask,Man In Their On Mask
marthamarcymaymarlene,Martha Marcy May Marlene
matrixthe,The Matrix
meanstreets,Mean Streets
meetjoeblack,Meet Joe Black
meninblack,Men In Black
metro,Metro
miamivice,Miami Vice
midnightcowboy,Midnight Cowboy
millerscrossing,Miller's Crossing
mimic,Mimic
minorityreport,Minority Report
missionimpossible,Mission Impossible
missionimpossibleii,Mission Impossible II
missiontomars,Mission To Mars
moonstruck,Moonstruck
mrs.brown,Mrs Brown
mulhollanddrive,Mulholland Drive
mumford,Mumford
mummythe,The Mummy
musicoftheheart,Music Of The Heart
mybestfriendswedding,My Best Friend's Wedding
mymotherdreamsthesatansdisciplesinnewyork,My Mother Dreams The Satan's Disciples In New York
mysterymen,Mystery Men
naturalbornkillers,Natural Born Killers
nextfriday,Next Friday
nickoftime,Nick Of Time
nightmareonelmstreeta,A Nightmare On Elm Street
nightmareonelmstreetthefinalchapter,Nightmare On Elm Street: The Final Chapter
nottinghill,Notting Hill
nursebetty,Nurse Betty
oneflewoverthecuckoosnest,One Flew Over The Cuckoo's Nest
onlygodforgives,Only God Forgives
outofsight,Out Of Sight
panicroom,Panic Room
patriotthe,The Patriot
pearlharbor,Pearl Harbor
peepingtom,Peeping Tom
peggysuegotmarried,Peggy Sue Got Married
petsematary,Pets Em At Ary
pi,Pi
pianistthe,The Pianist
pitchblack,Pitch Black
platoon,Platoon
pleasantville,Pleasantville
pointbreak,Point Break
prettywoman,Pretty Woman
prettywomanfinalscript,Pretty Woman Final Script
programthe,The Program
prometheus,Prometheus
prophecythe,The Prophecy
psycho,Psycho
pulpfiction,Pulp Fiction
punchdrunklove,Punch Drunk Love
quantumproject,Quantum Project
raisingarizona,Raising Arizona
ramblingrose,Rambling Rose
rambofirstbloodiithemission,Rambo: First Blood II The Mission
rearwindow,Rear Window
reindeergames,Reindeer Games
relicthe,The Relic
residentevil,Resident Evil
ringu,Ringu
riseoftheguardians,Rise Of The Guardians
rko281,RKO 281
rockthe,The Rock
rocky,Rocky
ronin,Ronin
runawaybride,Runaway Bride
rushhour,Rush Hour
rushhour2,Rush Hour 2
saltonseathe,The Salton Sea
sandlotkidsthe,The Sandlot Kids
savingmr.banks,Saving Mr Banks
savingprivateryan,Saving Private Ryan
scream,Scream
scream2,Scream 2
se7en,Se7en
searchersthe,The Searchers
senseandsensibility,Sense And Sensibility
sexliesandvideotape,Sex Lies And Videotape
shakespeareinlove,Shakespeare In Love
shampoo,Shampoo
shawshankredemptionthe,The Shaw Shank Redemption
shivers,Shivers
shrekthethird,Shrek The Third
sideways,Sideways
signs,Signs
silenceofthelambs,Silence Of The Lambs
silverbullet,Silver Bullet
sisteract,Sister Act
sixthsensethe,The Sixth Sense
sleepyhollow,Sleepy Hollow
slingblade,Sling Blade
snowfallingoncedars,Snow Falling On Cedars
soimarriedanaxemurderer,So I Married An Axe Murderer
solaris,Solaris
soldier,Soldier
someonetowatchoverme,Someone To Watch Over Me
spareme,Spare Me
sphere,Sphere
spiderman,Spiderman
starman,Starman
starshiptroopers,Starship Troopers
startrekiithewrathofkhan,Star Trek II: The Wrath Of Khan
startreknemesis,Star Trek Nemesis
starwarsanewhope,Star Wars: A New Hope
starwarsattackoftheclones,Star Wars: Attack Of The Clones
starwarstheempirestrikesback,Star Wars: The Empire Strikes Back
stateandmain,State And Main
stationwest,Station West
stepmom,Step Mom
stingthe,The Sting
storytelling,Storytelling
strangedays,Strange Days
sugarandspice,Sugar And Spice
super8,Super 8
sweetsmellofsuccess,Sweet Smell Of Success
swingers,Swingers
takeshelter,Take Shelter
takingsides,Taking Sides
talentedmr.ripleythe,The Talented Mr Ripley
taxidriver,Taxi Driver
ted,Ted
terminator,Terminator
terminator2judgementday,Terminator 2: Judgement Day
thingthe,The Thing
thirteendays,Thirteen Days
threekings,Three Kings
threekingsspoilsofwar,Three Kings: Spoils Of War
thunderheart,Thunder Heart
timemachinethe,The Time Machine
tombstone,Tombstone
tomorrowneverdies,Tomorrow Never Dies
tosleepwithanger,To Sleep With Anger
totalrecall,Total Recall
toystory,Toy Story
traffic,Traffic
tremors,Tremors
truelies,True Lies
underfire,Under Fire
upintheair,Up In The Air
uturn,U Turn
verdictthe,The Verdict
verybadthings,Very Bad Things
vforvendetta,V For Vendetta
walkingtall,Walking Tall
wallstreet,Wall Street
warhorse,Warhorse
waroftheworlds,War Of The Worlds
whatliesbeneath,What Lies Beneath
whenastrangercalls,When A Stranger Calls
whitesquall,White Squall
whosyourdaddy,Who's Your Daddy
wildatheart,Wild At Heart
winwin,Win Win
witness,Witness
wonderboys,Wonder Boys
worldisnotenoughthe,The World Is Not Enough
xfilesfightthefuturethe,The X Files Fight The Future
xmen,X-Men
xxx,XXX
youcancountonme,You Can Count On Me
